AREACD,Voters,Rejected,Party,Candidate(s),Votes,Votes 0,Sample counts 0,Swing,Margins
ALJUNIED,150821,1582,Workers' Party,"Pritam Singh
Sylvia Lim
Muhamad Faisal Manap
Gerald Giam
Leon Perera","85,815",59.95 / 100,60 / 100,8.99,19.900
ALJUNIED,150821,1582,People's Action Party,"Victor Lye
Alex Yeo
Chan Hui Yuh
Chua Eng Leong
Shamsul Kamar","57,330",40.05 / 100,40 / 100,8.99,19.900
ANG MO KIO,185261,5016,People's Action Party,"Lee Hsien Loong
Darryl David
Gan Thiam Poh
Ng Ling Ling
Nadia Ahmad Samdin","124,597",71.91 / 100,72 / 100,6.72,43.820
ANG MO KIO,185261,5016,Reform Party,"Kenneth Jeyaretnam
Charles Yeo
Andy Zhu
Noraini Yunus
Darren Soh","48,677",28.09 / 100,28 / 100,6.72,43.820
BISHAN-TOA PAYOH,101220,2049,People's Action Party,"Ng Eng Hen
Chee Hong Tat
Chong Kee Hiong
Saktiandi Supaat","62,983",67.23 / 100,67 / 100,6.36,34.460
BISHAN-TOA PAYOH,101220,2049,Singapore People's Party,"Steve Chia
Williamson Lee
Melvyn Chiu
Osman Sulaiman","30,696",32.77 / 100,33 / 100,6.36,34.460
BUKIT BATOK,29948,533,People's Action Party,Murali Pillai,"15,500",54.80 / 100,57 / 100,6.43,9.600
BUKIT BATOK,29948,533,Singapore Democratic Party,Chee Soon Juan,"12,787",45.20 / 100,43 / 100,6.43,9.600
BUKIT PANJANG,35437,586,People's Action Party,Liang Eng Hwa,"18,085",53.73 / 100,56 / 100,14.65,7.460
BUKIT PANJANG,35437,586,Singapore Democratic Party,Paul Tambyah,"15,576",46.27 / 100,44 / 100,14.65,7.460
CHUA CHU KANG,106632,1410,People's Action Party,"Gan Kim Yong
Low Yen Ling
Don Wee
Zhulkarnain Abdul Rahim","59,554",58.64 / 100,59 / 100,18.25,17.280
